document,text,keyword,event_trigger,temporal_status,measurability,event_factuality,kw_is_nsubj,kw_is_dobj,kw_is_pobj,category,text_kw_et,text_kw,relation_time_specification,relation_unit
141.txt,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks.",19-48 [a new water stewardship pilot],8-18 [introduced],past,2.0,3_max,False,True,False,action,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""a new water stewardship pilot"", event trigger: ""introduced"")","We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""a new water stewardship pilot"")",,
142.txt,Growing our female talent pool Achieving our commitment on gender balance among senior management will require a strong pipeline of talents.,59-73 [gender balance],31-40 [Achieving],future,2.0,0_low,False,False,True,intention,"Growing our female talent pool Achieving our commitment on gender balance among senior management will require a strong pipeline of talents. (keyword: ""gender balance"", event trigger: ""Achieving"")","Growing our female talent pool Achieving our commitment on gender balance among senior management will require a strong pipeline of talents. (keyword: ""gender balance"")",,
143.txt,Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees.,0-12 [Climate risk],26-34 [governed],ongoing,1.0,3_max,False,False,False,situation,"Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees. (keyword: ""Climate risk"", event trigger: ""governed"")","Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees. (keyword: ""Climate risk"")",,
143.txt,Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees.,38-68 [ING's Climate Change Committee],26-34 [governed],ongoing,1.0,3_max,False,False,True,situation,"Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees. (keyword: ""ING's Climate Change Committee"", event trigger: ""governed"")","Climate risk is currently governed by ING's Climate Change Committee and relevant risk management committees. (keyword: ""ING's Climate Change Committee"")",,
144.txt,"A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks.",47-68 [any material exposure],23-31 [disclose],ongoing,1.0,0_low,False,True,False,belief,"A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks. (keyword: ""any material exposure"", event trigger: ""disclose"")","A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks. (keyword: ""any material exposure"")",,
144.txt,"A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks.",72-101 [environmental or social risks],23-31 [disclose],ongoing,1.0,0_low,False,True,False,belief,"A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks. (keyword: ""environmental or social risks"", event trigger: ""disclose"")","A listed entity should disclose whether it has any material exposure to environmental or social risks and, if it does, how it manages or intends to manage those risks. (keyword: ""environmental or social risks"")",,
145.txt,We have also met the Parker Review’s target for black and minority ethnic directors.,48-83 [black and minority ethnic directors],13-16 [met],past,3.0,3_max,False,False,True,action,"We have also met the Parker Review’s target for black and minority ethnic directors. (keyword: ""black and minority ethnic directors"", event trigger: ""met"")","We have also met the Parker Review’s target for black and minority ethnic directors. (keyword: ""black and minority ethnic directors"")",,21-43 [Parker Review’s target]
147.txt,"The Company is committed to providing a safe working environment for our people, as well as supporting our people in achieving and maintaining their health and well-being goals.",38-64 [a safe working environment],28-37 [providing],ongoing,2.0,1_medium,False,True,False,intention,"The Company is committed to providing a safe working environment for our people, as well as supporting our people in achieving and maintaining their health and well-being goals. (keyword: ""a safe working environment"", event trigger: ""providing"")","The Company is committed to providing a safe working environment for our people, as well as supporting our people in achieving and maintaining their health and well-being goals. (keyword: ""a safe working environment"")",,
148.txt,Renewable energy is subsidised largely via tax credits in the USA.,0-16 [Renewable energy],20-30 [subsidised],ongoing,2.0,3_max,False,False,False,situation,"Renewable energy is subsidised largely via tax credits in the USA. (keyword: ""Renewable energy"", event trigger: ""subsidised"")","Renewable energy is subsidised largely via tax credits in the USA. (keyword: ""Renewable energy"")",,
149.txt,"We are committed to communicating the most relevant environmental, social and governance (ESG) topics, through publications, web portals and events, in order to keep our investors informed.  ",52-65 [environmental],20-33 [communicating],ongoing,1.0,0_low,False,False,False,intention,"We are committed to communicating the most relevant environmental, social and governance (ESG) topics, through publications, web portals and events, in order to keep our investors informed. (keyword: ""environmental"", event trigger: ""communicating"")","We are committed to communicating the most relevant environmental, social and governance (ESG) topics, through publications, web portals and events, in order to keep our investors informed. (keyword: ""environmental"")",,
17.txt,Environmental protection is a fundamental part of the Group's responsibility.  ,0-24 [Environmental protection],25-27 [is],ongoing,1.0,_,True,False,False,belief,"Environmental protection is a fundamental part of the Group's responsibility. (keyword: ""Environmental protection"", event trigger: ""is"")","Environmental protection is a fundamental part of the Group's responsibility. (keyword: ""Environmental protection"")",,
18.txt,We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce.  ,76-90 [gender balance],64-72 [emphasis],ongoing,1.0,_,False,False,True,belief,"We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce. (keyword: ""gender balance"", event trigger: ""emphasis"")","We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce. (keyword: ""gender balance"")",,
18.txt,We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce.  ,95-104 [diversity],64-72 [emphasis],ongoing,1.0,_,False,False,False,belief,"We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce. (keyword: ""diversity"", event trigger: ""emphasis"")","We are a leading employer of choice in the region with a strong emphasis on gender balance and diversity within the workforce. (keyword: ""diversity"")",,
19.txt,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity.",129-135 [gender],13-18 [treat],ongoing,1.0,0_low,False,False,True,intention,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""gender"", event trigger: ""treat"")","We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""gender"")",,
19.txt,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity.",161-179 [sexual orientation],13-18 [treat],ongoing,1.0,0_low,False,False,False,intention,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""sexual orientation"", event trigger: ""treat"")","We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""sexual orientation"")",,
19.txt,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity.",198-207 [diversity],13-18 [treat],ongoing,1.0,0_low,False,False,True,intention,"We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""diversity"", event trigger: ""treat"")","We strive to treat our employees with fairness, integrity, honesty, courtesy, consideration, respect, and dignity, regardless of gender, race, nationality, age, sexual orientation or other forms of diversity. (keyword: ""diversity"")",,
20.txt,"In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first.",46-60 [global society],36-42 [change],ongoing,1.0,3_max,False,False,True,situation,"In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first. (keyword: ""global society"", event trigger: ""change"")","In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first. (keyword: ""global society"")",,
20.txt,"In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first.",85-97 [the business],77-84 [support],ongoing,1.0,3_max,False,True,False,action,"In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first. (keyword: ""the business"", event trigger: ""support"")","In this time of rapid and impactful change to global society, we continue to support the business to respond to constantly shifting priorities – always putting people first. (keyword: ""the business"")",,
21.txt,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures.",163-172 [workforce],154-162 [conducts],ongoing,2.0,3_max,True,False,False,action,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""workforce"", event trigger: ""conducts"")","The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""workforce"")",,
21.txt,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures.",15-35 [governance committee],36-43 [reviews],ongoing,1.0,3_max,False,False,False,action,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""governance committee"", event trigger: ""reviews"")","The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""governance committee"")",,
21.txt,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures.",44-62 [workforce policies],36-43 [reviews],ongoing,1.0,3_max,True,True,False,action,"The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""workforce policies"", event trigger: ""reviews"")","The people and governance committee reviews workforce policies and practices and their alignment with Company’s strategy, purpose, values and culture and conducts workforce engagement measures. (keyword: ""workforce policies"")",,
22.txt,"In March 2018, the company announced that it would increase its investment in sustainability by $500 million over five years.  ",78-92 [sustainability],51-59 [increase],future,4.0,3_max,False,False,True,intention,"In March 2018, the company announced that it would increase its investment in sustainability by $500 million over five years. (keyword: ""sustainability"", event trigger: ""increase"")","In March 2018, the company announced that it would increase its investment in sustainability by $500 million over five years. (keyword: ""sustainability"")",109-124 [over five years],96-108 [$500 million]
23.txt,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies.",138-152 [climate change],73-81 [proposed],past,2.0,3_max,False,False,True,action,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""climate change"", event trigger: ""proposed"")","Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""climate change"")",,
23.txt,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies.",165-189 [greenhouse gas emissions],73-81 [proposed],past,2.0,3_max,False,True,False,action,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""greenhouse gas emissions"", event trigger: ""proposed"")","Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""greenhouse gas emissions"")",,
23.txt,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies.",194-209 [energy policies],73-81 [proposed],past,2.0,3_max,False,False,False,action,"Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""energy policies"", event trigger: ""proposed"")","Foreign, federal, state and local regulatory and legislative bodies have proposed various legislative and regulatory measures relating to climate change, regulating greenhouse gas emissions and energy policies. (keyword: ""energy policies"")",,
27.txt,Further information on our ESG goals and accomplishments can be found in our Sustainability Report and in the separate Non-financial Report in accordance with Section German Commercial Code.,73-98 [our Sustainability Report],64-69 [found],ongoing,2.0,3_max,False,False,True,situation,"Further information on our ESG goals and accomplishments can be found in our Sustainability Report and in the separate Non-financial Report in accordance with Section German Commercial Code. (keyword: ""our Sustainability Report"", event trigger: ""found"")","Further information on our ESG goals and accomplishments can be found in our Sustainability Report and in the separate Non-financial Report in accordance with Section German Commercial Code. (keyword: ""our Sustainability Report"")",,
29.txt,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity.",156-174 [supplier diversity],148-155 [promote],ongoing,1.0,3_max,False,True,False,intention,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""supplier diversity"", event trigger: ""promote"")","We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""supplier diversity"")",,
29.txt,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity.",11-41 [responsible sourcing processes],3-6 [use],ongoing,1.0,3_max,False,True,False,action,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""responsible sourcing processes"", event trigger: ""use"")","We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""responsible sourcing processes"")",,
29.txt,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity.",60-69 [suppliers],47-54 [working],ongoing,1.0,3_max,False,False,True,action,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""suppliers"", event trigger: ""working"")","We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""suppliers"")",,
29.txt,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity.",81-110 [their sustainability journeys],73-80 [support],ongoing,1.0,2_high,False,True,False,intention,"We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""their sustainability journeys"", event trigger: ""support"")","We use our responsible sourcing processes when working with suppliers to support their sustainability journeys, innovate together on challenges and promote supplier diversity. (keyword: ""their sustainability journeys"")",,
3.txt,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment.  ",117-126 [employees],37-57 [consider and promote],ongoing,1.0,0_low,False,False,False,belief,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""employees"", event trigger: ""consider and promote"")","The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""employees"")",,
3.txt,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment.  ",128-137 [customers],37-57 [consider and promote],ongoing,1.0,0_low,False,False,False,belief,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""customers"", event trigger: ""consider and promote"")","The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""customers"")",,
3.txt,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment.  ",152-161 [suppliers],37-57 [consider and promote],ongoing,1.0,0_low,False,False,False,belief,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""suppliers"", event trigger: ""consider and promote"")","The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""suppliers"")",,
3.txt,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment.  ",170-181 [environment],37-57 [consider and promote],ongoing,1.0,0_low,False,False,False,belief,"The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""environment"", event trigger: ""consider and promote"")","The Board of Directors has a duty to consider and promote the interests of all stakeholders, including shareholders, employees, customers, communities, suppliers and the environment. (keyword: ""environment"")",,
30.txt,"We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels.",177-187 [low carbon],143-150 [include],ongoing,2.0,_,False,False,True,situation,"We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels. (keyword: ""low carbon"", event trigger: ""include"")","We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels. (keyword: ""low carbon"")",,
30.txt,"We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels.",192-209 [sustainable fuels],143-150 [include],ongoing,2.0,_,False,False,False,situation,"We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels. (keyword: ""sustainable fuels"", event trigger: ""include"")","We also met with refinery management to understand the potential alternative use cases under consideration for refineries in the future, which include options for production of low carbon and sustainable fuels. (keyword: ""sustainable fuels"")",,
32.txt,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground.",32-40 [hydrogen],21-28 [not run],ongoing,1.0,-1_negative,False,False,True,situation,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""hydrogen"", event trigger: ""not run"")","Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""hydrogen"")",,
32.txt,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground.",57-60 [CO2],48-56 [separate],ongoing,1.0,0_low,False,True,False,situation,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""CO2"", event trigger: ""separate"")","Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""CO2"")",,
32.txt,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground.",66-78 [the flue gas],48-56 [separate],ongoing,1.0,0_low,False,False,True,situation,"Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""the flue gas"", event trigger: ""separate"")","Power plants that do not run on hydrogen, could separate CO2 from the flue gas and store it underground. (keyword: ""the flue gas"")",,
33.txt,We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments.,107-119 [Gas segments],8-14 [closed],past,2.0,3_max,False,False,False,action,"We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Gas segments"", event trigger: ""closed"")","We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Gas segments"")",,
33.txt,We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments.,64-76 [Onshore Wind],8-14 [closed],past,2.0,3_max,False,False,True,action,"We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Onshore Wind"", event trigger: ""closed"")","We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Onshore Wind"")",,
33.txt,We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments.,79-84 [Solar],8-14 [closed],past,2.0,3_max,False,False,False,action,"We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Solar"", event trigger: ""closed"")","We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Solar"")",,
33.txt,We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments.,89-104 [Hydro / Biomass],8-14 [closed],past,2.0,3_max,False,False,False,action,"We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Hydro / Biomass"", event trigger: ""closed"")","We also closed the fiscal year above the forecast ranges in the Onshore Wind / Solar and Hydro / Biomass / Gas segments. (keyword: ""Hydro / Biomass"")",,
34.txt,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations.",117-123 [gender],65-73 [increase],future,1.0,0_low,False,False,True,intention,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""gender"", event trigger: ""increase"")","With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""gender"")",,
34.txt,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations.",144-153 [ethnicity],65-73 [increase],future,1.0,0_low,False,False,False,intention,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""ethnicity"", event trigger: ""increase"")","With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""ethnicity"")",,
34.txt,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations.",5-23 [our 2030 diversity],65-73 [increase],future,1.0,0_low,False,True,False,intention,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""our 2030 diversity"", event trigger: ""increase"")","With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""our 2030 diversity"")",,
34.txt,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations.",74-83 [diversity],65-73 [increase],future,1.0,0_low,False,True,False,intention,"With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""diversity"", event trigger: ""increase"")","With our 2030 diversity and inclusion (D&I) strategy, we seek to increase diversity across all dimensions, including gender, LGBTQ+, abilities, ethnicity and generations. (keyword: ""diversity"")",,
35.txt,"ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact.",121-139 [employee diversity],112-120 [increase],ongoing,1.0,0_low,False,True,False,situation,"ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact. (keyword: ""employee diversity"", event trigger: ""increase"")","ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact. (keyword: ""employee diversity"")",,
35.txt,"ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact.",175-207 [the Group’s environmental impact],168-174 [reduce],past,1.0,1_medium,False,True,False,situation,"ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact. (keyword: ""the Group’s environmental impact"", event trigger: ""reduce"")","ESG framework – Made for the Future Recent Annual Reports have outlined the progress to support safer gambling, increase employee diversity, invest in communities, and reduce the Group’s environmental impact. (keyword: ""the Group’s environmental impact"")",,
36.txt,We also have an active lending policy to support the local economy.  ,49-66 [the local economy],41-48 [support],ongoing,1.0,_,False,True,False,action,"We also have an active lending policy to support the local economy. (keyword: ""the local economy"", event trigger: ""support"")","We also have an active lending policy to support the local economy. (keyword: ""the local economy"")",,
36.txt,We also have an active lending policy to support the local economy.  ,16-37 [active lending policy],8-12 [have],ongoing,1.0,3_max,False,True,False,situation,"We also have an active lending policy to support the local economy. (keyword: ""active lending policy"", event trigger: ""have"")","We also have an active lending policy to support the local economy. (keyword: ""active lending policy"")",,
38.txt,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use.",36-41 [waste],12-35 [preventing and reducing],ongoing,2.0,1_medium,False,True,False,intention,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""waste"", event trigger: ""preventing and reducing"")","We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""waste"")",,
38.txt,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use.",72-83 [the utility],61-71 [maximising],ongoing,1.0,2_high,False,True,False,intention,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""the utility"", event trigger: ""maximising"")","We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""the utility"")",,
38.txt,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use.",87-108 [the natural resources],61-71 [maximising],ongoing,1.0,2_high,False,False,True,intention,"We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""the natural resources"", event trigger: ""maximising"")","We focus on preventing and reducing waste wherever possible, maximising the utility of the natural resources we use. (keyword: ""the natural resources"")",,
39.txt,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues.  ",15-44 [the Corporate Governance Code],45-55 [recommends],ongoing,1.0,3_max,True,False,False,situation,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""the Corporate Governance Code"", event trigger: ""recommends"")","In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""the Corporate Governance Code"")",,
39.txt,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues.  ","164-207 [environmental, social and governance issues]",78-85 [oversee],ongoing,1.0,0_low,False,False,True,intention,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""environmental, social and governance issues"", event trigger: ""oversee"")","In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""environmental, social and governance issues"")",,
39.txt,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues.  ",86-101 [the development],78-85 [oversee],ongoing,1.0,0_low,False,True,False,intention,"In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""the development"", event trigger: ""oversee"")","In particular, the Corporate Governance Code recommends that the Board should oversee the development of a corporate strategy, including an appropriate response to environmental, social and governance issues. (keyword: ""the development"")",,
41.txt,Employees volunteer with community groups and via direct donations too.,0-9 [Employees],10-19 [volunteer],ongoing,1.0,3_max,True,False,False,situation,"Employees volunteer with community groups and via direct donations too. (keyword: ""Employees"", event trigger: ""volunteer"")","Employees volunteer with community groups and via direct donations too. (keyword: ""Employees"")",,
41.txt,Employees volunteer with community groups and via direct donations too.,25-41 [community groups],10-19 [volunteer],ongoing,1.0,3_max,False,False,True,situation,"Employees volunteer with community groups and via direct donations too. (keyword: ""community groups"", event trigger: ""volunteer"")","Employees volunteer with community groups and via direct donations too. (keyword: ""community groups"")",,
42.txt,We are committed to ensuring gender balance across our senior management with the goal of by 2025 and 40% by 2030.,29-43 [gender balance],20-28 [ensuring],future,4.0,1_medium,False,True,False,intention,"We are committed to ensuring gender balance across our senior management with the goal of by 2025 and 40% by 2030. (keyword: ""gender balance"", event trigger: ""ensuring"")","We are committed to ensuring gender balance across our senior management with the goal of by 2025 and 40% by 2030. (keyword: ""gender balance"")",106-113 [by 2030],102-105 [40%]
